# max-cut SDP  problem=data/G59mc.sdp n=5000 m=5000 F0_nnz=33858  mode=deflated16 sigma=1 eta_tol=0 window=0.025 gamma=1.1 symmetrize=1  ||C||_F=1.726412e+02
# iter  pinf        dinf        gap         eta         obj_primal      obj_dual        proj_ms  cum_proj_s  deflated  eps_sym_raw  eps_sym_used
     1  3.8332e-01  7.4763e-01  9.9994e-01  9.9994e-01  -1.04800629e+04  +4.90400000e+03    142.54      0.143  0  0.000e+00  0.000e+00
     2  6.4529e-01  3.5434e-01  6.8587e-01  6.8587e-01  -1.54061252e+04  -2.87027767e+03     20.10      0.163  0  0.000e+00  0.000e+00
     3  6.0718e-01  2.2947e-01  4.0797e-01  6.0718e-01  -1.68643969e+04  -7.09091156e+03     20.01      0.183  0  0.000e+00  0.000e+00
     4  4.7686e-01  1.8895e-01  2.6595e-01  4.7686e-01  -1.66136005e+04  -9.63298665e+03     19.98      0.203  0  0.000e+00  0.000e+00
     5  3.4012e-01  1.6436e-01  1.7365e-01  3.4012e-01  -1.57203518e+04  -1.10682711e+04     19.99      0.223  0  0.000e+00  0.000e+00
     6  2.2775e-01  1.4047e-01  1.1089e-01  2.2775e-01  -1.47323069e+04  -1.17911353e+04     19.95      0.243  0  0.000e+00  0.000e+00
     7  1.4900e-01  1.1637e-01  7.0866e-02  1.4900e-01  -1.38933892e+04  -1.20544924e+04     20.19      0.263  0  0.000e+00  0.000e+00
     8  1.0313e-01  9.4707e-02  4.8899e-02  1.0313e-01  -1.32828660e+04  -1.20443361e+04     20.30      0.283  0  0.000e+00  0.000e+00
     9  8.1827e-02  7.7384e-02  4.0714e-02  8.1827e-02  -1.29017607e+04  -1.18922543e+04     20.38      0.303  0  0.000e+00  0.000e+00
    10  7.1584e-02  6.5308e-02  4.2039e-02  7.1584e-02  -1.27189195e+04  -1.16926436e+04     20.27      0.324  0  0.000e+00  0.000e+00
    11  6.2774e-02  5.7967e-02  4.8797e-02  6.2774e-02  -1.26890769e+04  -1.15082648e+04     20.22      0.344  0  0.000e+00  0.000e+00
    12  5.3292e-02  5.3933e-02  5.7502e-02  5.7502e-02  -1.27660781e+04  -1.13777056e+04     20.16      0.364  0  0.000e+00  0.000e+00
    13  4.4514e-02  5.1422e-02  6.5510e-02  6.5510e-02  -1.29070828e+04  -1.13198998e+04     20.06      0.384  0  0.000e+00  0.000e+00
    14  3.8806e-02  4.9299e-02  7.1124e-02  7.1124e-02  -1.30733063e+04  -1.13370753e+04     19.99      0.404  0  0.000e+00  0.000e+00
    15  3.7344e-02  4.7053e-02  7.3722e-02  7.3722e-02  -1.32376829e+04  -1.14198119e+04     19.99      0.424  0  0.000e+00  0.000e+00
    16  3.8349e-02  4.4662e-02  7.3312e-02  7.3312e-02  -1.33795094e+04  -1.15516693e+04     19.96      0.444  0  0.000e+00  0.000e+00
    17  4.0035e-02  4.2389e-02  7.0331e-02  7.0331e-02  -1.34866427e+04  -1.17141770e+04     19.99      0.464  0  0.000e+00  0.000e+00
    18  4.0288e-02  4.0368e-02  6.5591e-02  6.5591e-02  -1.35564550e+04  -1.18874974e+04     19.96      0.484  0  0.000e+00  0.000e+00
    19  3.8889e-02  3.8703e-02  5.9849e-02  5.9849e-02  -1.35901076e+04  -1.20551973e+04     19.98      0.504  0  0.000e+00  0.000e+00
    20  3.6044e-02  3.7296e-02  5.3865e-02  5.3865e-02  -1.35948941e+04  -1.22051208e+04     20.24      0.524  0  0.000e+00  0.000e+00
    25  1.9114e-02  3.1387e-02  3.4302e-02  3.4302e-02  -1.34501224e+04  -1.25579502e+04     20.23      0.626  0  0.000e+00  0.000e+00
    50  6.7369e-03  1.8774e-02  2.5290e-02  2.5290e-02  -1.37055499e+04  -1.30294052e+04     20.00      1.132  0  0.000e+00  0.000e+00
    75  3.4735e-03  1.4104e-02  2.0158e-02  2.0158e-02  -1.38657998e+04  -1.33178229e+04     20.69      1.640  0  0.000e+00  0.000e+00
   100  2.4899e-03  1.1566e-02  1.7160e-02  1.7160e-02  -1.39691417e+04  -1.34978011e+04     20.08      2.148  0  0.000e+00  0.000e+00
   125  2.4825e-03  1.0022e-02  1.5435e-02  1.5435e-02  -1.40453210e+04  -1.36183151e+04     20.19      2.654  0  0.000e+00  0.000e+00
   150  2.1344e-03  8.8153e-03  1.3928e-02  1.3928e-02  -1.40999578e+04  -1.37125779e+04     20.32      3.159  0  0.000e+00  0.000e+00
   175  1.8772e-03  8.0026e-03  1.2990e-02  1.2990e-02  -1.41448378e+04  -1.37820617e+04     20.02      3.664  0  0.000e+00  0.000e+00
   200  1.8318e-03  7.4028e-03  1.2199e-02  1.2199e-02  -1.41836029e+04  -1.38417003e+04     20.01      4.168  0  0.000e+00  0.000e+00
   225  2.0025e-03  6.8847e-03  1.1380e-02  1.1380e-02  -1.42109359e+04  -1.38911299e+04     20.35      4.673  0  0.000e+00  0.000e+00
# gate it=250 k=250 kw=125 s1=1.193e+02 s_kw/s1=1.535e-01 fired=0 clipped_neg=0 clipped_pos=0 fired_frac_last250=0.000
   250  1.8040e-03  6.4532e-03  1.0853e-02  1.0853e-02  -1.42391812e+04  -1.39334045e+04     20.28      5.180  0  0.000e+00  0.000e+00
   275  2.1431e-03  6.1372e-03  1.0350e-02  1.0350e-02  -1.42601856e+04  -1.39680182e+04     20.02      5.685  0  0.000e+00  0.000e+00
   300  1.9058e-03  5.8575e-03  9.7825e-03  9.7825e-03  -1.42787817e+04  -1.40021137e+04     20.39      6.189  0  0.000e+00  0.000e+00
   325  1.7688e-03  5.5983e-03  9.4017e-03  9.4017e-03  -1.42975648e+04  -1.40312162e+04     20.15      6.699  0  0.000e+00  0.000e+00
   350  1.8058e-03  5.3988e-03  8.7982e-03  8.7982e-03  -1.43146605e+04  -1.40649608e+04     19.99      7.203  0  0.000e+00  0.000e+00
   375  1.8948e-03  5.2082e-03  8.9095e-03  8.9095e-03  -1.43288738e+04  -1.40757926e+04     20.91      7.709  0  0.000e+00  0.000e+00
   400  2.0193e-03  5.0502e-03  8.1493e-03  8.1493e-03  -1.43393715e+04  -1.41075401e+04     20.09      8.216  0  0.000e+00  0.000e+00
   425  2.2126e-03  4.9131e-03  8.0476e-03  8.0476e-03  -1.43558743e+04  -1.41266497e+04     20.17      8.724  0  0.000e+00  0.000e+00
   450  1.3920e-03  3.7690e-03  7.8385e-03  7.8385e-03  -1.43636849e+04  -1.41402497e+04     20.99      9.237  122  3.083e-17  0.000e+00
   475  1.1069e-03  3.6040e-03  7.4743e-03  7.4743e-03  -1.43737173e+04  -1.41604370e+04     21.53      9.766  117  3.557e-17  0.000e+00
# gate it=500 k=250 kw=125 s1=1.571e+02 s_kw/s1=9.143e-02 fired=1 clipped_neg=79 clipped_pos=35 fired_frac_last250=0.228
# deflate it=500 alpha=2.159e+01 theta=1.571e+01 clipped_neg=79 clipped_pos=35
   500  1.0059e-03  3.5040e-03  7.4558e-03  7.4558e-03  -1.43814097e+04  -1.41685383e+04     21.01     10.297  114  2.958e-17  0.000e+00
   525  1.0782e-03  3.3683e-03  7.0125e-03  7.0125e-03  -1.43921331e+04  -1.41916809e+04     21.44     10.830  110  3.903e-17  0.000e+00
   550  1.0313e-03  3.2413e-03  7.1445e-03  7.1445e-03  -1.43975450e+04  -1.41932721e+04     20.94     11.358  109  3.040e-17  0.000e+00
   575  1.0026e-03  3.1450e-03  6.3689e-03  6.3689e-03  -1.44051989e+04  -1.42228619e+04     21.41     11.891  107  2.832e-17  0.000e+00
   600  9.3185e-04  3.0565e-03  6.7554e-03  6.7554e-03  -1.44128055e+04  -1.42193772e+04     21.41     12.421  104  2.877e-17  0.000e+00
   625  9.6658e-04  2.9991e-03  6.5275e-03  6.5275e-03  -1.44182177e+04  -1.42312018e+04     21.19     12.950  102  2.468e-17  0.000e+00
   650  1.0569e-03  2.8589e-03  6.4109e-03  6.4109e-03  -1.44286620e+04  -1.42448335e+04     21.21     13.477  100  2.666e-17  0.000e+00
   675  1.0464e-03  2.7818e-03  6.0986e-03  6.0986e-03  -1.44266961e+04  -1.42517919e+04     21.38     14.008  97  2.508e-17  0.000e+00
   700  1.0522e-03  2.7308e-03  5.7946e-03  5.7946e-03  -1.44384920e+04  -1.42721183e+04     22.35     14.541  95  2.561e-17  0.000e+00
   725  1.0111e-03  2.6457e-03  5.9172e-03  5.9172e-03  -1.44378073e+04  -1.42679444e+04     20.97     15.073  94  2.682e-17  0.000e+00
# gate it=750 k=250 kw=125 s1=1.835e+02 s_kw/s1=7.320e-02 fired=1 clipped_neg=64 clipped_pos=28 fired_frac_last250=1.000
# deflate it=750 alpha=2.599e+01 theta=1.835e+01 clipped_neg=64 clipped_pos=28
   750  9.9222e-04  2.6146e-03  5.7382e-03  5.7382e-03  -1.44474380e+04  -1.42825730e+04     20.91     15.607  92  2.673e-17  0.000e+00
   775  9.9021e-04  2.5339e-03  5.5580e-03  5.5580e-03  -1.44484571e+04  -1.42887294e+04     21.52     16.137  91  3.163e-17  0.000e+00
   800  1.0261e-03  2.4899e-03  5.5853e-03  5.5853e-03  -1.44553430e+04  -1.42947585e+04     21.00     16.666  90  3.753e-17  0.000e+00
   825  9.6524e-04  2.4367e-03  5.6871e-03  5.6871e-03  -1.44592948e+04  -1.42957567e+04     21.31     17.200  87  2.241e-17  0.000e+00
   850  1.0725e-03  2.4186e-03  5.2500e-03  5.2500e-03  -1.44619813e+04  -1.43109187e+04     21.70     17.732  86  2.915e-17  0.000e+00
   875  1.0386e-03  2.3758e-03  5.6194e-03  5.6194e-03  -1.44680215e+04  -1.43063201e+04     20.90     18.264  84  2.433e-17  0.000e+00
   900  9.6118e-04  2.3149e-03  5.1567e-03  5.1567e-03  -1.44700115e+04  -1.43215370e+04     21.19     18.796  84  2.460e-17  0.000e+00
